genre,num_tracks,avg_price
R&B/Soul,63,1.2268333333333332
Pop,53,1.2488235294117649
Hip-Hop/Rap,32,1.2525
Orchestral,24,0.9899999999999999
Country,19,1.2584210526315789
Rock,16,1.04625
Dance,8,1.1614285714285715
Alternative,7,1.2900000000000003
Soundtrack,3,1.29
Blues,2,0.99
Techno,2,0.84
Reggae,2,1.29
New Age,2,0.99
Urbano latino,2,1.29
House,2,0.84
Christian,2,1.29
Children's Music,2,0.99
Music,1,1.29
Metal,1,1.29
Latin,1,1.29
Pop Latino,1,0.69
Punjabi Pop,1,0.99
Downtempo,1,0.99
Bollywood,1,1.29
Trance,1,0.99
Música tropical,1,1.29
