country_code,country_name,region_group,platform,genre,content_type,lyric_style,language,query,itunes_query,track_name,artist_name,collection_name,primary_genre_name,release_date,track_price,currency,track_view_url,result_found
US,United States,North America,YouTube,pop,lyrical,english,en,English pop song,English pop song,Youngblood,5 Seconds of Summer,Youngblood (Deluxe),Pop,2018-04-13T07:00:00Z,1.29,USD,https://music.apple.com/us/album/youngblood/1369109074?i=1369109322&uo=4,1
US,United States,North America,YouTube,pop,lyrical,english,en,English pop song,English pop song,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe! - Single",Pop,2024-04-05T12:00:00Z,1.29,USD,https://music.apple.com/us/album/good-luck-babe/1737497078?i=1737497080&uo=4,1
US,United States,North America,YouTube,pop,lyrical,english,en,English pop song,English pop song,Too Sweet,Hozier,Unheard - EP,Alternative,2024-03-22T12:00:00Z,1.29,USD,https://music.apple.com/us/album/too-sweet/1735414393?i=1735414394&uo=4,1
US,United States,North America,YouTube,pop,lyrical,english,en,English pop song,English pop song,No Scrubs,TLC,FanMail,R&B/Soul,1999-02-02T08:00:00Z,1.29,USD,https://music.apple.com/us/album/no-scrubs/309066782?i=309066884&uo=4,1
US,United States,North America,YouTube,pop,lyrical,english,en,English pop song,English pop song,Too Good at Goodbyes,Sam Smith,The Thrill of It All (Special Video Edition),Pop,2017-09-08T07:00:00Z,1.29,USD,https://music.apple.com/us/album/too-good-at-goodbyes/1536646939?i=1536646948&uo=4,1
US,United States,North America,YouTube,pop,lyrical,english,en,English pop song,English pop song,Set Fire to the Rain,Adele,21,Pop,2011-01-19T12:00:00Z,1.29,USD,https://music.apple.com/us/album/set-fire-to-the-rain/1544491232?i=1544491988&uo=4,1
US,United States,North America,YouTube,pop,lyrical,english,en,English pop song,English pop song,Roses (feat. ROZES),The Chainsmokers,Bouquet - EP,Dance,2015-06-16T07:00:00Z,1.29,USD,https://music.apple.com/us/album/roses-feat-rozes/1050203612?i=1050203620&uo=4,1
US,United States,North America,YouTube,pop,lyrical,english,en,English pop song,English pop song,traitor,Olivia Rodrigo,SOUR,Pop,2021-05-21T12:00:00Z,1.29,USD,https://music.apple.com/us/album/traitor/1560735414?i=1560735421&uo=4,1
US,United States,North America,YouTube,pop,lyrical,english,en,English pop song,English pop song,Easy On Me,Adele,30,Pop,2021-10-14T07:00:00Z,1.29,USD,https://music.apple.com/us/album/easy-on-me/1590035691?i=1590036021&uo=4,1
US,United States,North America,YouTube,pop,lyrical,english,en,English pop song,English pop song,Diamonds,Sam Smith,Love Goes,Pop,2020-09-19T07:00:00Z,1.29,USD,https://music.apple.com/us/album/diamonds/1531499128?i=1531499529&uo=4,1
US,United States,North America,YouTube,pop,lyrical,english,en,English pop song,English pop song,Kiss You,One Direction,Take Me Home (Yearbook Edition),Pop,2012-11-09T08:00:00Z,1.29,USD,https://music.apple.com/us/album/kiss-you/574406654?i=574406658&uo=4,1
US,United States,North America,YouTube,pop,lyrical,english,en,English pop song,English pop song,Love Me Like You Do,Ellie Goulding,Fifty Shades of Grey (Original Motion Picture Soundtrack),Soundtrack,2015-01-07T12:00:00Z,1.29,USD,https://music.apple.com/us/album/love-me-like-you-do/1440845197?i=1440845808&uo=4,1
US,United States,North America,YouTube,pop,lyrical,english,en,English pop song,English pop song,I Want to Know What Love Is,Foreigner,No End In Sight: The Very Best of Foreigner (Remastered),Rock,1984-11-13T08:00:00Z,1.29,USD,https://music.apple.com/us/album/i-want-to-know-what-love-is/284531685?i=284531789&uo=4,1
