search_term,track_name,artist_name,album_name,release_date,genre,track_price,currency,preview_url,itunes_url
AI generated music,AI Generated Music,Chatgpt Vibe,AI Generated Music - Single,2023-02-26T12:00:00Z,Music,1.29,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/af/e2/4e/afe24eb3-d757-7173-22fe-aa0e6f559a1d/mzaf_6144349583974285040.plus.aac.p.m4a,https://music.apple.com/us/album/ai-generated-music/1674167503?i=1674167505&uo=4
AI generated music,A.I. Generated Music,Art Logins,Jazz Is Improvising - Single,2023-10-12T12:00:00Z,Rock,0.99,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/e3/8a/cf/e38acf99-5dcc-a0b5-a1f2-d45417c1a2f8/mzaf_9541913498157178804.plus.aac.p.m4a,https://music.apple.com/us/album/a-i-generated-music/1711841871?i=1711841885&uo=4
AI generated music,Broken Neon,Ai-Generated-Music,Broken Neon - Single,2024-10-02T12:00:00Z,House,0.69,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/5b/dc/a2/5bdca24e-9a05-5f61-4ab9-430287fcdcf2/mzaf_8143003267663433686.plus.aac.p.m4a,https://music.apple.com/us/album/broken-neon/1772058969?i=1772058972&uo=4
AI generated music,Ai Generated,alfonsonic,Ai Generated - Single,2025-06-06T12:00:00Z,Pop,0.99,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/95/4a/f5/954af531-66ad-afb1-8b65-251693de2659/mzaf_4737989644164236337.plus.aac.p.m4a,https://music.apple.com/us/album/ai-generated/1816175012?i=1816175014&uo=4
AI generated music,Jahaha,Mindest Mindset,AI-Generated Music,2023-04-14T12:00:00Z,Pop,0.99,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/cf/0e/61/cf0e61de-cb59-3b56-f97c-b59c10fb4a00/mzaf_2522212655881439453.plus.aac.p.m4a,https://music.apple.com/us/album/jahaha/1682570611?i=1682570612&uo=4
AI generated music,Rebellion of the Robots,Ai-Generated-Music,Rebellion of the Robots - Single,2024-10-02T12:00:00Z,Techno,0.69,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/f9/1a/44/f91a4487-b364-bffe-bc2f-550a12acb789/mzaf_16021372888862616625.plus.aac.p.m4a,https://music.apple.com/us/album/rebellion-of-the-robots/1772046453?i=1772046454&uo=4
AI generated music,AI Generated,Bohemia,Rap Star Reloaded,2024-04-20T12:00:00Z,Punjabi Pop,0.99,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/95/b9/39/95b9399a-6184-165c-5834-a592bd753706/mzaf_5526255047889411279.plus.aac.p.m4a,https://music.apple.com/us/album/ai-generated/1740491865?i=1740492017&uo=4
AI generated music,Mystisch,Mindest Mindset,AI-Generated Music,2023-04-14T12:00:00Z,Pop,0.99,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/65/c9/fa/65c9fa3a-6532-a1bd-1c06-3f89d4e04b4d/mzaf_9748209682969175519.plus.aac.p.m4a,https://music.apple.com/us/album/mystisch/1682570611?i=1682570618&uo=4
AI generated music,AI GENERATED,ChxmicaL,AI GENERATED - Single,2024-04-19T12:00:00Z,Hip-Hop/Rap,0.99,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/00/8d/08/008d08f8-4eb2-1086-54d0-1201d60dfd96/mzaf_7081140459929372488.plus.aac.p.m4a,https://music.apple.com/us/album/ai-generated/1739863310?i=1739863316&uo=4
AI generated music,Itchy,Mindest Mindset,AI-Generated Music,2023-04-14T12:00:00Z,Pop,0.99,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/a3/c1/4e/a3c14e71-b036-6235-ae7b-38360fae65ad/mzaf_12272427043589765971.plus.aac.p.m4a,https://music.apple.com/us/album/itchy/1682570611?i=1682570613&uo=4
AI generated music,Ai Generated Music,Benny Chan,Ai Generated Music - Single,2023-10-25T12:00:00Z,Trance,0.99,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/b8/ea/52/b8ea5240-1eb3-5de4-1dea-66cc2e368a38/mzaf_10900182477188428418.plus.aac.p.m4a,https://music.apple.com/us/album/ai-generated-music/1713598461?i=1713598462&uo=4
AI generated music,I Might Go,Mindest Mindset,AI-Generated Music,2023-04-14T12:00:00Z,Pop,0.99,USD,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/37/9e/44/379e4466-a5b2-decb-b723-dfbf1e962fda/mzaf_5009573625669418718.plus.aac.p.m4a,https://music.apple.com/us/album/i-might-go/1682570611?i=1682570614&uo=4
