country_code,country_name,genre,content_type,lyric_style,language,query,video_count,total_views,median_views,total_likes,total_comments,avg_like_rate,avg_comment_rate,views_score,median_views_score,like_rate_score,comment_rate_score,youtube_opportunity_score,itunes_catalog_count,unique_artists,unique_itunes_genres,avg_track_price,demand_score,supply_score,gap_score,final_market_gap_score
US,United States,pop,lyrical,english,en,English pop song,25,28436722900,617089497.0,170699668,9384579,0.005187045507966,0.00020007592921,0.987010659613409,1.0,0.0074571394633434,0.0112761040032308,0.6963153163266905,50,46,11,1.2716326530612243,0.6963153163266905,1.0,0.0,0.45260495561234887
ES,Spain,pop,lyrical,local_language,es,Spanish pop song Spain,25,31745865978,241655742.0,160765945,7267700,0.0070763961428307,0.0002166348432312,1.0,0.9332073157278932,0.0182209215790225,0.0130982733416875,0.6913393423836851,50,41,8,1.158,0.6913393423836851,1.0,0.0,0.44937057254939533
MX,Mexico,pop,lyrical,local_language,es,Mexican pop song,25,19289374269,102466036.0,100391234,5433815,0.0063460287524362,0.000122364512831,0.941212502022912,0.8720798725759338,0.0140599599716148,0.0027246156633417,0.6475399118718863,50,37,6,14.448979591836734,0.6475399118718863,1.0,0.0,0.4209009427167261
KR,South Korea,pop,lyrical,local_language,ko,Korean pop song,25,12200630320,190840744.0,133833359,22732515,0.0100876523053324,0.0009164104017502,0.8871615979963569,0.916388034116004,0.0353762894760915,0.0901026931302664,0.645680253212333,50,28,7,,0.645680253212333,1.0,0.0,0.4196921645880165
NZ,New Zealand,pop,lyrical,english,en,New Zealand pop song,25,571494926,6202177.0,5859139,168061,0.0073054439325153,0.0003083701850826,0.525971613984013,0.6722624389665764,0.0195258252092689,0.0231929768325044,0.4038461150915878,0,0,0,,0.4038461150915878,0.0,0.4038461150915878,0.4038461150915878
FR,France,pop,lyrical,local_language,fr,French pop song,25,7542836539,38299019.0,49668962,1448146,0.0098484288154669,0.000344373994275,0.8304176835921088,0.8019666343077938,0.0340134140657,0.0271548934831934,0.5847774147899473,50,36,7,1.2322,0.5847774147899473,1.0,0.0,0.3801053196134657
MX,Mexico,pop,lyrical,humorous,es,Spanish funny song,25,6858342392,22677685.0,34622771,1084087,0.0165385100844992,0.0004587080347461,0.8191922474049944,0.7646309189916609,0.072127343681104,0.0397363938533888,0.5793018681310034,50,32,14,14.20408163265306,0.5793018681310034,1.0,0.0,0.3765462142851522
ES,Spain,pop,lyrical,humorous,es,Spanish funny song,25,6851765726,22677685.0,34063121,1082403,0.0140658900813624,0.0004619678626894,0.8190790414928666,0.7646309189916609,0.0580406291890947,0.0400951105252252,0.5771860655019135,50,37,5,1.272,0.5771860655019135,1.0,0.0,0.37517094257624384
IN,India,pop,lyrical,local_language,hi,Hindi pop song,25,7218745306,26100839.0,31434593,753800,0.005219109876392,0.0001483576546263,0.8252355530727375,0.7746470478171802,0.0076398127422176,0.0055849424896588,0.5695308993845863,50,42,10,16.94,0.5695308993845863,1.0,0.0,0.37019508459998113
CA,Canada,lofi,instrumental,no_lyrics,en,lofi study music Canada,25,93171276,290197.0,984029,43190,0.0185926183246718,0.0091850772894157,0.3119451730680672,0.4541020242913197,0.0838297630897824,1.0,0.4093674558557649,2,2,2,1.14,0.4093674558557649,0.2794153127047222,0.2949839201666898,0.3693332183645886
JP,Japan,pop,lyrical,local_language,ja,Japanese pop song,25,4065529464,26606926.0,26842948,1186533,0.0186487484304454,0.0005198313146561,0.7574885887972757,0.7760152540753893,0.0841495408046905,0.0464624971700065,0.5535391509099202,50,22,4,253.91489361702128,0.5535391509099202,1.0,0.0,0.3598004480914482
ID,Indonesia,pop,lyrical,local_language,id,Indonesian pop song,25,2535273238,58302717.0,9830914,517471,0.005538819440722,0.0004229321550543,0.701764971242505,0.8319057477958576,0.0094612237747936,0.0357995589288803,0.5240527525859752,50,34,10,5938.775510204082,0.5240527525859752,1.0,0.0,0.3406342891808839
CA,Canada,pop,lyrical,english,en,English pop song Canada,25,3996591762,2020353.0,30504839,1205506,0.0128477073151635,0.0010746884745806,0.7554705838281558,0.59235146538647,0.051100544257015,0.10751986498656,0.5199986463779082,50,37,14,1.194,0.5199986463779082,1.0,0.0,0.3379991201456403
GB,United Kingdom,pop,lyrical,english,en,UK pop song,25,4140490047,2765713.0,25225232,569593,0.0096542649418205,0.000639745886055,0.7596444294579883,0.6147244225888504,0.0329072469032372,0.0596580880739133,0.5166518994933368,50,46,13,0.9687234042553192,0.5166518994933368,1.0,0.0,0.33582373467066895
SE,Sweden,edm,instrumental,no_lyrics,sv,Swedish electronic music,25,2467999684,18250982.0,15835293,676563,0.0128250713525472,0.0006664671288563,0.6985916026407701,0.7491590597335863,0.050971585362311,0.062598536297486,0.5161631315160718,50,31,10,11.55813953488372,0.5161631315160718,1.0,0.0,0.3355060354854467
VN,Vietnam,pop,lyrical,local_language,vi,Vietnamese pop song,25,2122987135,38566524.0,17548894,2087572,0.0073050304839985,0.0005369854033354,0.6808230282971306,0.80246252916906,0.0195234697599049,0.0483501604781492,0.5110850645180854,50,34,6,5927.0625,0.5110850645180854,1.0,0.0,0.3322052919367556
TH,Thailand,pop,lyrical,local_language,th,Thai pop song,25,2292493829,26449611.0,10970227,321196,0.0069575621042143,0.0001732464566882,0.689887165804069,0.7755927604582133,0.0175439145290924,0.0083237460084066,0.503942284074302,50,33,9,18.84,0.503942284074302,1.0,0.0,0.3275624846482963
AU,Australia,pop,lyrical,english,en,Australian pop song,25,2197470640,6195559.0,11836632,471866,0.0101438975686234,0.0009052400546169,0.6848919331927331,0.6721863762186234,0.0356967232526133,0.0888734902960553,0.4955687738723915,50,32,9,2.1206521739130433,0.4955687738723915,1.0,0.0,0.3221197030170545
MY,Malaysia,pop,lyrical,local_language,ms,Malay pop song,25,1189294700,34096080.0,6242163,441927,0.0068742437916974,0.0008571572334232,0.6124475475609424,0.7936849207262593,0.0170692434195438,0.0835823798782307,0.4800585014203892,50,35,14,3.66,0.4800585014203892,1.0,0.0,0.31203802592325297
SE,Sweden,pop,lyrical,local_language,sv,Swedish pop song,25,1566468426,8964260.0,10186554,468503,0.0110655543806087,0.0006853876731551,0.6449516226556593,0.6985053871659829,0.040947476038558,0.0646805832024868,0.478021097647183,50,32,5,11.551020408163266,0.478021097647183,1.0,0.0,0.31071371347066895
IT,Italy,pop,lyrical,local_language,it,Italian pop song,25,1722723346,11609076.0,6756791,181518,0.0070678767016592,0.0001945571841937,0.6561711793049656,0.7169253237955852,0.0181723856393059,0.0106688124898828,0.4757968341309782,50,40,8,1.0402,0.4757968341309782,1.0,0.0,0.3092679421851358
IN,India,devotional,lyrical,local_language,hi,Hindi devotional song,25,1281137821,25030482.0,8122428,346569,0.0068680063191901,0.0003348936126176,0.6212251924814147,0.7716637766233672,0.0170337080383489,0.0261116571483194,0.4714171563433811,50,19,5,15.4,0.4714171563433811,1.0,0.0,0.3064211516231977
BR,Brazil,pop,lyrical,local_language,pt,Portuguese pop song,25,1658101909,68517.0,7393258,410775,0.0138084687951559,0.0034734401860206,0.6516597832720685,0.3512614449197417,0.0565740794732646,0.3714823333917449,0.460290642549734,50,34,10,2.6,0.460290642549734,1.0,0.0,0.29918891765732714
KR,South Korea,jazz,instrumental,no_lyrics,ko,Korean jazz instrumental,25,117206773,1640617.0,3001769,145204,0.1794066147571154,0.001397284620557,0.3390257065431419,0.5775181628071198,1.0,0.1430188599779226,0.4564693148296833,50,34,9,,0.4564693148296833,1.0,0.0,0.29670505463929414
PH,Philippines,pop,lyrical,local_language,tl,Filipino pop song,25,1009382881,10351157.0,4633330,354155,0.0043918173821557,0.0002581845839518,0.5930933824941604,0.7087542518820186,0.0029266610436532,0.0176704731529031,0.4413871117529674,50,30,9,42.0,0.4413871117529674,1.0,0.0,0.2869016226394288
DE,Germany,pop,lyrical,local_language,de,German pop song,25,769227924,13499912.0,5130421,139791,0.0100499479405768,0.0003590503712549,0.5610325233029229,0.7276759867417927,0.0351614846857313,0.0287699054397778,0.4356411675186464,50,38,6,1.25875,0.4356411675186464,1.0,0.0,0.2831667588871202
TW,Taiwan,pop,lyrical,local_language,zh,Taiwan mandarin pop song,25,1179868046,2090609.0,4204166,123423,0.0080328117694218,0.0002140082332158,0.6115085399084538,0.5947868619767047,0.0236696981198549,0.0128092369816876,0.4301834826147991,50,32,5,20.8,0.4301834826147991,1.0,0.0,0.2796192636996194
NL,Netherlands,pop,lyrical,local_language,nl,Dutch pop song,25,648382770,13715105.0,4033762,127741,0.0060735704101553,0.0002810307553212,0.5408659674275382,0.7288027072805229,0.0125077429411742,0.0201845023287907,0.4210973619603684,50,31,6,1.2262,0.4210973619603684,1.0,0.0,0.2737132852742395
SG,Singapore,pop,lyrical,english,en,Singapore pop song,25,391157587,4456021.0,5412798,134591,0.0162905676875509,0.0009393669904759,0.4812333005334868,0.6487055237818915,0.0707147959576996,0.0926288728083474,0.3948593053380288,49,41,8,1.433061224489796,0.3948593053380288,0.994963503179957,0.001988707635699384,0.2573545961422135
US,United States,jazz,lyrical,vocal,en,jazz vocal song,25,622623206,1547143.0,7340604,113180,0.0141055957416,0.0003365000319158,0.536082370742195,0.5733387322020469,0.0582668355203447,0.0262884300928579,0.3953922216534873,50,23,12,1.2777551020408162,0.3953922216534873,1.0,0.0,0.25700494407476676
PH,Philippines,pop,lyrical,english,en,OPM pop song,25,485699473,3350210.0,1252487,42585,0.0038781049303953,9.760464251709062e-05,0.5067774265148745,0.6283839375565169,0.0,0.0,0.3790655007687405,50,31,9,42.0,0.3790655007687405,1.0,0.0,0.24639257549968135
IN,India,lofi,instrumental,no_lyrics,hi,Hindi lofi music,25,293038130,6524430.0,2390835,68911,0.0087400167141336,0.0002063500103075,0.4471545976816096,0.6758712552421235,0.0276987014162995,0.0119665139050041,0.364701332187425,45,32,4,17.444444444444443,0.364701332187425,0.9737566601691502,0.00957098099735824,0.24040570927090163
US,United States,lofi,instrumental,no_lyrics,en,lofi instrumental music,25,330973417,4652992.0,3569000,107953,0.0080226098300412,0.0002649832705595,0.4615191067140521,0.6517871945427233,0.0236115768528842,0.0184186114826499,0.3674215205159009,50,5,1,0.99,0.3674215205159009,1.0,0.0,0.23882398833533558
US,United States,jazz,instrumental,no_lyrics,en,jazz instrumental music,25,355181363,3194095.0,2273986,54450,0.00795599663004,0.0002291086912568,0.4698486330302408,0.624984155859995,0.0232320761092901,0.0144709154953747,0.3655765964278191,50,24,3,0.978,0.3655765964278191,1.0,0.0,0.23762478767808243
HK,Hong Kong,pop,lyrical,local_language,zh,Cantonese pop song,25,381421031,2476141.0,1075627,63355,0.0046960424196477,0.0001869470777109,0.4782589657985481,0.6068448709463231,0.0046598554847863,0.0098313842214765,0.3626721430444781,50,20,2,8.0,0.3626721430444781,1.0,0.0,0.23573689297891076
JP,Japan,city pop,lyrical,local_language,ja,Japanese city pop,25,336859634,807120.0,4970918,83527,0.0195420215984689,0.0007866615456229,0.4635992046042823,0.5269798072387034,0.0892385896942712,0.0758249218324763,0.361955090478894,50,40,8,245.8,0.361955090478894,1.0,0.0,0.23527080881128112
GB,United Kingdom,jazz,instrumental,no_lyrics,en,jazz instrumental UK,25,250559583,2318456.0,1974945,54299,0.0121270699550889,0.0003034709125537,0.4286754244747475,0.6021569270244252,0.0469950154128057,0.0226538530607771,0.3452164279132962,46,36,17,0.8746666666666667,0.3452164279132962,0.9792264361027441,0.0071713755236393045,0.2269006595769163
NL,Netherlands,edm,instrumental,no_lyrics,nl,Dutch electronic music,25,196222139,3158527.0,2514161,38462,0.0175125563282656,0.0007225928657307,0.3998309194517566,0.6241863476632518,0.0776765632621733,0.0687747019989027,0.3467204190476901,50,29,9,1.212,0.3467204190476901,1.0,0.0,0.22536827238099855
DE,Germany,jazz,instrumental,no_lyrics,de,German jazz instrumental,25,66716452,280481.0,632066,13050,0.0150853991791898,0.0004537327831648,0.2725353126267061,0.4516758361148267,0.0638488542964226,0.0391889092254173,0.2420584880645944,4,4,4,1.215,0.2420584880645944,0.4093360343955374,0.1429752264684538,0.2073793465059452
JP,Japan,jazz,instrumental,no_lyrics,ja,Japanese jazz instrumental,25,116955253,1193154.0,1632506,34924,0.0218088262768634,0.000627932403319,0.3387722168014599,0.5548284582779646,0.102152757772336,0.0583581135710928,0.3044284307578372,50,26,7,243.78,0.3044284307578372,1.0,0.0,0.1978784799925942
AU,Australia,lofi,instrumental,no_lyrics,en,Australia lofi music,25,21465126,173175.0,242542,10956,0.0256016907977365,0.0077130811827478,0.1387231335022012,0.4173211573018214,0.123761011181525,0.83801919809132,0.2970928296023916,49,17,6,1.843061224489796,0.2970928296023916,0.994963503179957,0.0014963070915500324,0.19363404672359705
BR,Brazil,bossa nova,instrumental,no_lyrics,pt,Bossa nova instrumental,25,108977800,2499589.0,708589,9905,0.0106075437505216,0.0001118195654375,0.3304359956712696,0.6075163611809378,0.0383381527409394,0.0015642328150866,0.2927066279052263,50,5,3,1.892,0.2927066279052263,1.0,0.0,0.1902593081383971
VN,Vietnam,lofi,instrumental,no_lyrics,vi,Vietnamese lofi music,25,69489770,2308767.0,294291,11826,0.0095515519459567,0.0008543838366344,0.2773411261180849,0.6018585628777361,0.0323220827269722,0.0832771908673258,0.2763821666737344,50,40,5,5877.530612244898,0.2763821666737344,1.0,0.0,0.17964840833792736
JP,Japan,lofi,instrumental,no_lyrics,ja,Japanese lofi study music,25,81161060,955529.0,1089472,23558,0.0135500852038289,0.0002657166720371,0.2956610066791926,0.5390055242374361,0.0551020474279742,0.0184993161522627,0.2666718127241191,50,45,14,247.86,0.2666718127241191,1.0,0.0,0.17333667827067742
DE,Germany,lofi,instrumental,no_lyrics,de,German lofi music,25,36853141,494.0,646330,19385,0.0293049671071642,0.0085675657768518,0.2025023117329144,0.0,0.1448588733640478,0.9320480471790324,0.2627871939479193,50,34,17,1.254,0.2627871939479193,1.0,0.0,0.17081167606614753
BR,Brazil,jazz,instrumental,no_lyrics,pt,Brazilian jazz instrumental,25,53107881,594123.0,761041,8273,0.025371954855793,0.0003868369513742,0.2456169019241155,0.5051512045999428,0.1224521870926616,0.0318275850828454,0.2469806577083724,50,39,11,2.4530612244897956,0.2469806577083724,1.0,0.0,0.16053742751044206
KR,South Korea,lofi,instrumental,no_lyrics,ko,Korean lofi music,25,53381480,739264.0,459349,9262,0.0130351103021197,0.0003973348010255,0.2462232379882639,0.5207232275123332,0.0521681941056989,0.032982785220348,0.2400289113955057,50,44,13,,0.2400289113955057,1.0,0.0,0.1560187924070787
ES,Spain,jazz,instrumental,no_lyrics,es,Spanish jazz instrumental,25,40782269,980211.0,439132,9818,0.0151047086642192,0.0003946155742642,0.2144562688072902,0.5408224788290632,0.0639588619814905,0.0326835571657571,0.2298889930415449,50,45,16,1.242,0.2298889930415449,1.0,0.0,0.1494278454770042
