country_code,country_name,video_count,total_views,median_views,total_likes,total_comments,avg_like_rate,avg_comment_rate
ES,Spain,75,38638413973,5570955.0,195268198,8359921,0.012082331629470805,0.00035773942672832855
US,United States,125,29782390189,3115551.0,184042107,9664170,0.007884421182177444,0.00022741036049656464
MX,Mexico,75,26167452867,7477839.0,135267042,6522874,0.01233966047033572,0.000310269442516706
KR,South Korea,75,12371218573,3272393.0,137294477,22886981,0.06750979245485587,0.0009036766077776369
IN,India,75,8792921257,16089778.0,41947856,1169280,0.006942377636571974,0.00022986709251718445
FR,France,75,7607807297,876566.0,50565123,1467886,0.01456153455542576,0.0005060443039328057
JP,Japan,100,4600505411,1925315.0,34535844,1328542,0.01838742037740169,0.0005500354839087961
GB,United Kingdom,75,4438167438,1818011.0,27467694,628784,0.009145464737667313,0.00034973154057341274
CA,Canada,50,4089763038,809877.0,31488868,1248696,0.015720162819917737,0.0051298828819982
SE,Sweden,50,4034468110,9759002.0,26021847,1145066,0.011945312866578047,0.000675927401005763
ID,Indonesia,50,2541897828,882661.0,9911518,520554,0.008435268193378056,0.0004863619053799503
TH,Thailand,50,2320641735,1441172.5,11248057,327433,0.012077151296050496,0.0005625161779472857
AU,Australia,50,2218935766,470677.0,12079174,482822,0.01787279418317997,0.004309160618682392
VN,Vietnam,50,2192476905,4479468.0,17843185,2099398,0.008428291214977662,0.0006956846199849503
BR,Brazil,75,1820187590,710297.0,8862888,428953,0.016595989133823544,0.0013240322342775023
IT,Italy,50,1750179288,1567431.5,6991939,187268,0.009398986877510089,0.0003284454773480736
PH,Philippines,50,1495082354,6226515.0,5885817,396740,0.00413496115627556,0.00017789461323447272
TW,Taiwan,50,1189649644,246813.0,4359234,126894,0.014919775445864654,0.0010644070950253178
MY,Malaysia,25,1189294700,34096080.0,6242163,441927,0.006874243791697464,0.0008571572334232021
DE,Germany,75,872797517,331017.0,6408817,172226,0.018146771408976976,0.0031267829770905402
NL,Netherlands,50,844604909,5531435.5,6547923,166203,0.011793063369210498,0.0005018118105259807
NZ,New Zealand,25,571494926,6202177.0,5859139,168061,0.00730544393251536,0.0003083701850826285
SG,Singapore,25,391157587,4456021.0,5412798,134591,0.016290567687550966,0.0009393669904759994
HK,Hong Kong,25,381421031,2476141.0,1075627,63355,0.004696042419647797,0.00018694707771090908
