country_code,country_name,genre,content_type,lyric_style,language,query,video_count,total_views,median_views,total_likes,total_comments,avg_like_rate,avg_comment_rate,views_score,median_views_score,like_rate_score,comment_rate_score,youtube_opportunity_score
US,United States,pop,lyrical,english,en,English pop song,25,28436722900,617089497.0,170699668,9384579,0.005187045507966076,0.00020007592921003503,0.987010659613409,1.0,0.0074571394633434086,0.01127610400323085,0.6963153163266905
ES,Spain,pop,lyrical,local_language,es,Spanish pop song Spain,25,31745865978,241655742.0,160765945,7267700,0.007076396142830736,0.00021663484323127753,1.0,0.9332073157278933,0.018220921579022557,0.013098273341687536,0.6913393423836851
MX,Mexico,pop,lyrical,local_language,es,Mexican pop song,25,19289374269,102466036.0,100391234,5433815,0.0063460287524362636,0.00012236451283102,0.9412125020229121,0.8720798725759338,0.014059959971614824,0.002724615663341714,0.6475399118718863
KR,South Korea,pop,lyrical,local_language,ko,Korean pop song,25,12200630320,190840744.0,133833359,22732515,0.010087652305332408,0.0009164104017502872,0.8871615979963569,0.9163880341160041,0.03537628947609154,0.09010269313026643,0.645680253212333
FR,France,pop,lyrical,local_language,fr,French pop song,25,7542836539,38299019.0,49668962,1448146,0.009848428815466912,0.00034437399427505696,0.8304176835921088,0.8019666343077938,0.03401341406570006,0.02715489348319347,0.5847774147899473
MX,Mexico,pop,lyrical,humorous,es,Spanish funny song,25,6858342392,22677685.0,34622771,1084087,0.016538510084499268,0.0004587080347461521,0.8191922474049944,0.7646309189916609,0.07212734368110406,0.03973639385338882,0.5793018681310034
ES,Spain,pop,lyrical,humorous,es,Spanish funny song,25,6851765726,22677685.0,34063121,1082403,0.01406589008136241,0.0004619678626894521,0.8190790414928666,0.7646309189916609,0.05804062918909473,0.04009511052522524,0.5771860655019135
IN,India,pop,lyrical,local_language,hi,Hindi pop song,25,7218745306,26100839.0,31434593,753800,0.005219109876392039,0.0001483576546263669,0.8252355530727375,0.7746470478171802,0.00763981274221769,0.005584942489658804,0.5695308993845863
JP,Japan,pop,lyrical,local_language,ja,Japanese pop song,25,4065529464,26606926.0,26842948,1186533,0.018648748430445485,0.0005198313146561298,0.7574885887972757,0.7760152540753893,0.08414954080469055,0.04646249717000655,0.5535391509099202
ID,Indonesia,pop,lyrical,local_language,id,Indonesian pop song,25,2535273238,58302717.0,9830914,517471,0.005538819440722048,0.00042293215505432593,0.701764971242505,0.8319057477958576,0.009461223774793666,0.03579955892888032,0.5240527525859752
CA,Canada,pop,lyrical,english,en,English pop song Canada,25,3996591762,2020353.0,30504839,1205506,0.012847707315163598,0.001074688474580688,0.7554705838281558,0.59235146538647,0.051100544257015094,0.10751986498656005,0.5199986463779082
GB,United Kingdom,pop,lyrical,english,en,UK pop song,25,4140490047,2765713.0,25225232,569593,0.009654264941820557,0.0006397458860550474,0.7596444294579883,0.6147244225888504,0.03290724690323721,0.05965808807391339,0.5166518994933368
SE,Sweden,edm,instrumental,no_lyrics,sv,Swedish electronic music,25,2467999684,18250982.0,15835293,676563,0.012825071352547299,0.0006664671288563853,0.6985916026407701,0.7491590597335863,0.05097158536231107,0.06259853629748602,0.5161631315160718
VN,Vietnam,pop,lyrical,local_language,vi,Vietnamese pop song,25,2122987135,38566524.0,17548894,2087572,0.007305030483998536,0.0005369854033354308,0.6808230282971306,0.80246252916906,0.019523469759904995,0.04835016047814926,0.5110850645180854
